Unnamed: 0,Name,Sys ID,company,company_clean,domain_clean,phone_clean,address_clean,combined_id,merged_ids,record_id,is_merged,merged_from,canonical_company
37,1-2-5 Computing Services,C25543,1-2-5 Computing Services,1-2-5 computing services,,,,1-2-5 computing services;;,C25543;C47602,C25543,False,[],1-2-5 computing services
39,12g Consulting LLC,C40365,12g Consulting LLC,12g consulting,,,,12g consulting;;,C40365,C40365,False,[],12g consulting
40,12M Communications Inc.,C41806,12M Communications Inc.,12m communications,,,,12m communications;;,C41806,C41806,False,[],12m communications
41,13 Layers LLC,C35740,13 Layers LLC,13 layers,,,,13 layers;;,C35740;C47603,C35740,False,[],13 layers
43,14611241 Canada Inc. dba Redacted Technology Consulting,C52094,14611241 Canada Inc. dba Redacted Technology Consulting,14611241 canada redacted technology consulting,,,,14611241 canada redacted technology consulting;;,C52094,C52094,False,[],14611241 canada redacted technology consulting
44,1523 Holdings LLC,C42186,1523 Holdings LLC,1523 holdings,,,,1523 holdings;;,C42186,C42186,False,[],1523 holdings
45,1802 Fremont Unit B Unable to find valid Contact Info,C36301,1802 Fremont Unit B Unable to find valid Contact Info,1802 fremont unit b unable to find valid contact info,,,,1802 fremont unit b unable to find valid contact info;;,C36301,C36301,False,[],1802 fremont unit b unable to find valid contact info
46,1842IT,C47604,1842IT,1842it,,,,1842it;;,C47604,C47604,False,[],1842it
47,1901Group,C30254,1901Group,1901group,,,,1901group;;,C30254,C30254,False,[],1901group
48,1903 Solutions LLC,C26314,1903 Solutions LLC,1903 solutions,,,,1903 solutions;;,C26314,C26314,False,[],1903 solutions
49,1994,C26705,1994,1994,,,,1994;;,C26705,C26705,False,[],1994
50,1IX,C39504,1IX,1ix,,,,1ix;;,C39504,C39504,False,[],1ix
51,"1Sasser Enterprises, LLC",D00003,"1Sasser Enterprises, LLC",1sasser enterprises,,,,1sasser enterprises;;,D00003,D00003,False,[],1sasser enterprises
52,1SEO Technologies DBA Shock IT,C47605,1SEO Technologies DBA Shock IT,1seo technologies shock it,,,,1seo technologies shock it;;,C47605,C47605,False,[],1seo technologies shock it
53,1Source,C47606,1Source,1source,,,,1source;;,C47606,C47606,False,[],1source
54,1Source Technologies,C21524,1Source Technologies,1source technologies,,,,1source technologies;;,C21524,C21524,False,[],1source technologies
55,"1st Class Hosting, LLC",C43464,"1st Class Hosting, LLC",1st class hosting,,,,1st class hosting;;,C39505;C43464,C43464,False,[],1st class hosting
57,"1st Preferred Technologies, LLC",C28675,"1st Preferred Technologies, LLC",1st preferred technologies,,,,1st preferred technologies;;,C28675,C28675,False,[],1st preferred technologies
58,1Tech LLC,C38300,1Tech LLC,1tech,,,,1tech;;,C38300,C38300,False,[],1tech
59,1Touch Communications,C46793,1Touch Communications,1touch communications,,,,1touch communications;;,C46793,C46793,False,[],1touch communications
60,1Wire Fiber LLC,C46773,1Wire Fiber LLC,1wire fiber,,,,1wire fiber;;,C46773,C46773,False,[],1wire fiber
61,2 Dog Digital,C24913,2 Dog Digital,2 dog digital,,,,2 dog digital;;,C24913,C24913,False,[],2 dog digital
62,"2 Redundant, LLC",C23582,"2 Redundant, LLC",2 redundant,,,,2 redundant;;,C23582;C47607,C23582,False,[],2 redundant
64,20/20 Communications,C32553,20/20 Communications,20/20 communications,,,,20/20 communications;;,C32553,C32553,False,[],20/20 communications
65,"20/20 Technical Advisors, LLC",C21525,"20/20 Technical Advisors, LLC",20/20 technical advisors,,,,20/20 technical advisors;;,C21525,C21525,False,[],20/20 technical advisors
66,"20/20 Technologies, LLC.",C34001,"20/20 Technologies, LLC.",20/20 technologies,,,,20/20 technologies;;,C34001,C34001,False,[],20/20 technologies
67,20100US Inc,C34004,20100US Inc,20100us,,,,20100us;;,C34004,C34004,False,[],20100us
68,2020 Technologies,C24090,2020 Technologies,2020 technologies,,,,2020 technologies;;,C24090,C24090,False,[],2020 technologies
69,"2020 Teknology, LLC",C25610,"2020 Teknology, LLC",2020 teknology,,,,2020 teknology;;,C25610,C25610,False,[],2020 teknology
70,21 Technology LLC,C24452,21 Technology LLC,21 technology,,,,21 technology;;,C24452,C24452,False,[],21 technology
71,210 Solutions,C41649,210 Solutions,210 solutions,,,,210 solutions;;,C41649,C41649,False,[],210 solutions
72,"215, LLC",C47608,"215, LLC",215,,,,215;;,C47608,C47608,False,[],215
73,21st Century Business Technology LLC,C30972,21st Century Business Technology LLC,21st century business technology,,,,21st century business technology;;,C30972,C30972,False,[],21st century business technology
74,22Vets LLC,C41496,22Vets LLC,22vets,,,,22vets;;,C41496,C41496,False,[],22vets
75,2352410 Alberta LTD,C41567,2352410 Alberta LTD,2352410 alberta,,,,2352410 alberta;;,C41567,C41567,False,[],2352410 alberta
76,"24 Texas Group, LLC",C23527,"24 Texas Group, LLC",24 texas group,,,,24 texas group;;,C23527,C23527,False,[],24 texas group
77,24/7 IT Solutions,C27553,24/7 IT Solutions,24/7 it solutions,,,,24/7 it solutions;;,C27553,C27553,False,[],24/7 it solutions
78,24/7 Networks,C40944,24/7 Networks,24/7 networks,,,,24/7 networks;;,C40944;C47609,C40944,False,[],24/7 networks
80,247 IT Professional Solutions Corp,D00004,247 IT Professional Solutions Corp,247 it professional solutions,,,,247 it professional solutions;;,D00004,D00004,False,[],247 it professional solutions
81,"24By7Security, Inc.",C47567,"24By7Security, Inc.",24by7security,,,,24by7security;;,C47567,C47567,False,[],24by7security
82,24hourtek Inc.,C39506,24hourtek Inc.,24hourtek,,,,24hourtek;;,C39506,C39506,False,[],24hourtek
83,24HRS NETWORK,C47610,24HRS NETWORK,24hrs network,,,,24hrs network;;,C47610,C47610,False,[],24hrs network
84,2A Solve [LET Consulting],C34796,2A Solve [LET Consulting],2a solve let consulting,,,,2a solve let consulting;;,C34796,C34796,False,[],2a solve let consulting
85,2B Solutions Inc,C35045,2B Solutions Inc,2b solutions,,,,2b solutions;;,C35045,C35045,False,[],2b solutions
86,2iAmerica LLC,C31379,2iAmerica LLC,2iamerica,,,,2iamerica;;,C31379,C31379,False,[],2iamerica
87,"2K Networking, Inc",C34230,"2K Networking, Inc",2k networking,,,,2k networking;;,C34230,C34230,False,[],2k networking
88,2KLOUD,C47611,2KLOUD,2kloud,,,,2kloud;;,C47611,C47611,False,[],2kloud
89,2M Computer Consulting Inc,C42206,2M Computer Consulting Inc,2m computer consulting,,,,2m computer consulting;;,C42206,C42206,False,[],2m computer consulting
90,"2M Networking, LLC",C31858,"2M Networking, LLC",2m networking,,,,2m networking;;,C31858,C31858,False,[],2m networking
91,"2M Technologies, Inc.",C36558,"2M Technologies, Inc.",2m technologies,,,,2m technologies;;,C36558,C36558,False,[],2m technologies
92,"2MP Group, LLC",C44491,"2MP Group, LLC",2mp group,,,,2mp group;;,C44491,C44491,False,[],2mp group
93,2nd Gear,C28359,2nd Gear,2nd gear,,,,2nd gear;;,C28359,C28359,False,[],2nd gear
94,2nd Watch,C29066,2nd Watch,2nd watch,,,,2nd watch;;,C29066,C29066,False,[],2nd watch
95,2NetworkIT,C36640,2NetworkIT,2networkit,,,,2networkit;;,C36640,C36640,False,[],2networkit
96,2Secure Corp,C28953,2Secure Corp,2secure,,,,2secure;;,C28953,C28953,False,[],2secure
97,2Source4 B.V,C45454,2Source4 B.V,2source4 b.v,,,,2source4 b.v;;,C45454,C45454,False,[],2source4 b.v
98,"2-U Technology, LLC",C36221,"2-U Technology, LLC",2-u technology,,,,2-u technology;;,C36221,C36221,False,[],2-u technology
99,2utec llc,C29335,2utec llc,2utec,,,,2utec;;,C29335,C29335,False,[],2utec
100,2W Technologies,C28698,2W Technologies,2w technologies,,,,2w technologies;;,C28698;C43186,C28698,False,[],2w technologies
102,"3 A.V. INDUSTRIES, CORP dba SWITH-WIFI INDUSTRIES CORP",C50989,"3 A.V. INDUSTRIES, CORP dba SWITH-WIFI INDUSTRIES CORP",3 a.v. industries swith-wifi industries,,,,3 a.v. industries swith-wifi industries;;,C50989,C50989,False,[],3 a.v. industries swith-wifi industries
103,3 Dub IT Services,C30809,3 Dub IT Services,3 dub it services,,,,3 dub it services;;,C30809,C30809,False,[],3 dub it services
104,"3 Jacks Consulting, LLC",C39032,"3 Jacks Consulting, LLC",3 jacks consulting,,,,3 jacks consulting;;,C39032,C39032,False,[],3 jacks consulting
105,3 Z Tech,C40862,3 Z Tech,3 z tech,,,,3 z tech;;,C40862,C40862,False,[],3 z tech
106,313 Systems,C40393,313 Systems,313 systems,,,,313 systems;;,C40393,C40393,False,[],313 systems
107,322 Consulting,C27274,322 Consulting,322 consulting,,,,322 consulting;;,C27274,C27274,False,[],322 consulting
108,323 Technologies,C23319,323 Technologies,323 technologies,,,,323 technologies;;,C23319,C23319,False,[],323 technologies
109,"324 Networks, Inc.",C40418,"324 Networks, Inc.",324 networks,,,,324 networks;;,C40418,C40418,False,[],324 networks
110,329 Perry St.,C35898,329 Perry St.,329 perry st,,,,329 perry st;;,C35898;C47612,C35898,False,[],329 perry st
112,330 AM Technologies LLC,C27761,330 AM Technologies LLC,330 am technologies,,,,330 am technologies;;,C27761,C27761,False,[],330 am technologies
113,"3500 South DuPont Highway Suite 300 Dover, DE 19901",D00005,"3500 South DuPont Highway Suite 300 Dover, DE 19901",3500 south dupont highway suite 300 dover de 19901,,,,3500 south dupont highway suite 300 dover de 19901;;,D00005,D00005,False,[],3500 south dupont highway suite 300 dover de 19901
