Name,Sys ID,record_id,company,company_clean,domain_clean,phone_clean,address_clean,combined_id,merged_ids,reason
The Foundation,C40275,C40275,The Foundation,,,,,;;,C30356;C40275;C41449;C45619;C49674,duplicate company or domain
The IJM Company,C50318,C50318,The IJM Company,ijm company,,,,ijm company;;,C24553;C50318,duplicate company or domain
The IT Mothership LLC,C50320,C50320,The IT Mothership LLC,it mothership,,,,it mothership;;,C24507;C50320,duplicate company or domain
The Johns Hopkins University,C22584,C22584,The Johns Hopkins University,johns hopkins university,,,,johns hopkins university;;,C22095;C22584,duplicate company or domain
THE KANAVEL GROUP LLC,C45707,C45707,THE KANAVEL GROUP LLC,kanavel group,,,,kanavel group;;,C22585;C45707,duplicate company or domain
"The Link Source, LLC",C50322,C50322,"The Link Source, LLC",link source,,,,link source;;,C36825;C50322,duplicate company or domain
The Local Guy Computer Corporation,C50323,C50323,The Local Guy Computer Corporation,local guy computer,,,,local guy computer;;,C41550;C50323,duplicate company or domain
"The Maynard Group, Inc.",C35954,C35954,"The Maynard Group, Inc.",maynard group,,,,maynard group;;,C32279;C35954,duplicate company or domain
The Nerd Patrol Inc.,C44241,C44241,The Nerd Patrol Inc.,nerd patrol,,,,nerd patrol;;,C23988;C44241,duplicate company or domain
The Network Company Of California,C50325,C50325,The Network Company Of California,network company of california,,,,network company of california;;,C32893;C50325,duplicate company or domain
"The Network Doctor, Inc",C22588,C22588,"The Network Doctor, Inc",network doctor,,,,network doctor;;,C22588;C49474,duplicate company or domain
"The Network Operations Company, Inc.",C31456,C31456,"The Network Operations Company, Inc.",network operations company,,,,network operations company;;,C27565;C31456;C50326,duplicate company or domain
"The Network Operations Company, Inc.",C50326,C50326,"The Network Operations Company, Inc.",network operations company,,,,network operations company;;,C27565;C31456;C50326,duplicate company or domain
The Network People,C36487,C36487,The Network People,network people,,,,network people;;,C31609;C36487,duplicate company or domain
"The Network Systems Group, LLC",C46756,C46756,"The Network Systems Group, LLC",network systems group,,,,network systems group;;,C31850;C46756,duplicate company or domain
The NetWorkers,C44399,C44399,The NetWorkers,networkers,,,,networkers;;,C44399;C45605,duplicate company or domain
The Newberry Group,C50327,C50327,The Newberry Group,newberry group,,,,newberry group;;,C25408;C50327,duplicate company or domain
"The Nexus Group, Inc",C50328,C50328,"The Nexus Group, Inc",nexus group,,,,nexus group;;,C22589;C50328,duplicate company or domain
The PC Shop llc,C50329,C50329,The PC Shop llc,shop,,,,shop;;,C25757;C50329,duplicate company or domain
The PC Works,C27457,C27457,The PC Works,works,,,,works;;,C22337;C27457,duplicate company or domain
"The Proactive Technology Group, LLC",C28160,C28160,"The Proactive Technology Group, LLC",proactive technology group,,,,proactive technology group;;,C24462;C28160,duplicate company or domain
"The Ridgefield Group, Inc.",C50330,C50330,"The Ridgefield Group, Inc.",ridgefield group,,,,ridgefield group;;,C23940;C50330,duplicate company or domain
"The Scarlett Group, LLC",C50331,C50331,"The Scarlett Group, LLC",scarlett group,,,,scarlett group;;,C22592;C50331,duplicate company or domain
"The Schaller Group, LTD.",C50332,C50332,"The Schaller Group, LTD.",schaller group,,,,schaller group;;,C25709;C50332,duplicate company or domain
The Source LLC,C34048,C34048,The Source LLC,source,,,,source;;,C34048;C38407;C49678,duplicate company or domain
The Strickland Group,C50333,C50333,The Strickland Group,strickland group,,,,strickland group;;,C35771;C50333,duplicate company or domain
"The Tamblyn Group, LLC",C50334,C50334,"The Tamblyn Group, LLC",tamblyn group,,,,tamblyn group;;,C25231;C50334,duplicate company or domain
The Tech Depot Inc,C30879,C30879,The Tech Depot Inc,tech depot,,,,tech depot;;,C30879;C31927,duplicate company or domain
The Tech Fix,C50335,C50335,The Tech Fix,tech fix,,,,tech fix;;,C26998;C50335,duplicate company or domain
"The Tech Group, Inc",C27012,C27012,"The Tech Group, Inc",tech group,,,,tech group;;,C27012;C34764;C50218,duplicate company or domain
The TEK Services,C50337,C50337,The TEK Services,tek services,,,,tek services;;,C34739;C50337,duplicate company or domain
The Virtual Net,C50339,C50339,The Virtual Net,virtual net,,,,virtual net;;,C24404;C50339,duplicate company or domain
Think Unified,C40280,C40280,Think Unified,think unified,,,,think unified;;,C39447;C40280,duplicate company or domain
"ThinkTech Computers, Inc",C32132,C32132,"ThinkTech Computers, Inc",thinktech computers,,,,thinktech computers;;,C32132;C40282,duplicate company or domain
Thom Infotech,C50342,C50342,Thom Infotech,thom infotech,,,,thom infotech;;,C24650;C50342,duplicate company or domain
"Thomas Consultants, Inc.",C50343,C50343,"Thomas Consultants, Inc.",thomas consultants,,,,thomas consultants;;,C32046;C50343,duplicate company or domain
Thomas Gallaway Corp dba Technologent,C50344,C50344,Thomas Gallaway Corp dba Technologent,thomas gallaway technologent,,,,thomas gallaway technologent;;,C23774;C50344,duplicate company or domain
Tier 3 IT,C50346,C50346,Tier 3 IT,tier 3 it,,,,tier 3 it;;,C35599;C50346,duplicate company or domain
Tier 3 Partners,C50347,C50347,Tier 3 Partners,tier 3 partners,,,,tier 3 partners;;,C28585;C50347,duplicate company or domain
Tier 3 Technology Solutions,C50348,C50348,Tier 3 Technology Solutions,tier 3 technology solutions,,,,tier 3 technology solutions;;,C36826;C50348,duplicate company or domain
TIER1 TECHNICAL SOLUTIONS,C50350,C50350,TIER1 TECHNICAL SOLUTIONS,tier1 technical solutions,,,,tier1 technical solutions;;,C41868;C50350,duplicate company or domain
Tier4 Group,C50351,C50351,Tier4 Group,tier4 group,,,,tier4 group;;,C36206;C50351,duplicate company or domain
"Tinik, Inc.",C50353,C50353,"Tinik, Inc.",tinik,,,,tinik;;,C26772;C50353,duplicate company or domain
