record_id_1,record_id_2
D00968,C49700
C40116,D00970
C42291,C42042
C31419,C30436
C36741,C42348
C30811,C28725
C25219,C40108
D00998,C39488
C23798,C35095
C27137,C25065
C41534,C23198
C37606,C50722
C36533,C30766
C39401,C22794
C35806,C30896
C51370,C23953
C47017,D01012
C34057,C35418
C46906,C30267
D01027,D01013
C35352,C34056
D01029,C29501
C41192,C42635
C41201,C45028
C35725,C34954
C42382,C41324
C40163,C36783
C25841,C29836
C29109,C24754
C25938,C21944
C46746,C45634
C41297,C40109
C23916,C25963
C39300,C45830
C38399,C23019
C37017,C44778
C28869,C29215
C27284,D01079
C22418,C49898
C22419,C31792
C34560,C38449
C49905,C23782
C46582,D01082
D01087,C43742
C23554,D00050
C45644,C45380
C49938,C27043
C51421,C36127
C40195,C49950
C50781,D01109
C40199,C51956
D01114,C27686
C51066,C29575
C50035,C24396
C24861,C35315
C28942,C27680
D01154,C22485
C51279,C32713
C51351,C30451
C44387,C37545
C30307,C43951
C24610,C51225
C29646,C38407
C42948,C45620
C51228,C40221
C38678,C22898
C45025,C24130
C44161,C38223
C47186,C33078
C39395,C40236
C33083,C50146
C26939,C35461
C46891,C26445
C43646,C25665
C31757,C43646
C36519,C26229
C29157,C41048
D01208,C26950
C50194,C51306
C43588,C35636
C27957,C36925
D01238,C40249
C23700,C26883
C30616,C38308
C28008,C30639
C43906,C43697
C35970,C24037
C38334,C42550
C32730,C24631
C46224,C35970
C41323,C41878
C35675,C36739
C51179,C40110
C45056,C24586
C44859,C33716
C22544,D01230
C40260,C24272
C22566,C43591
C27369,C37387
C50285,C44570
C28022,C28133
C25394,C23549
C45271,C43967
C36280,C31611
C35958,C39762
D01270,C30559
C30869,C34113
C38584,C30693
C37627,C41785
C34478,C35427
C40437,C41313
C43498,C21593
C28279,C39259
C23753,C35196
C42749,C21602
C44223,C35055
C51497,C21613
C22576,C50819
C22577,C33648
C42595,C23925
C31618,D00153
C45329,D00164
C41312,C40432
C45673,C21683
C28443,C44173
C45451,C27403
C52066,C38024
C43259,C25824
C38299,C31359
D01271,C51821
C43100,C25084
C46898,C44506
C23844,C40435
C27862,C43423
C44397,C39027
C45224,C41263
C24457,C26833
C27344,C45168
C43358,C23576
C30153,C38076
C26459,C39681
C25191,C26467
C41499,C35473
C22581,C40096
C50308,C36974
C24815,C38614
C24559,C36023
C25810,C51890
C51435,C21766
C46049,C32077
C42459,C27925
C22582,C46955
C24575,C26637
C23689,C25011
C38236,C41971
C51594,C36311
C37745,C35211
C46899,C33549
C40273,C34675
C40274,C24196
C23391,C40511
C32520,C50744
C28467,C48441
C45674,C38735
C50312,C46774
C26153,C27986
C38819,D00459
C42734,C25162
C29415,C42390
C45943,C45377
C31276,C28646
C27134,C34545
C26460,C41573
C40431,C26430
C50315,C44733
C36193,C48719
C38767,C42559
C22583,D00595
C50316,C21984
C25193,C42349
C37095,C27627
C44452,C39834
C26473,C27025
C50317,C30695
C23662,C26703
