record_id_1,record_id_2,company_sim,company_clean_1,company_clean_2
D00236,C45087,0.929411765,cibernetica group,cibernetica
C34613,D00542,0.928571429,global it,global insight
C47400,D00542,0.928571429,global it,global insight
D00990,C42385,0.928571429,premier technology solutions,premier technology
D00146,C38529,0.928,beyond computers,beyond computer solutions
D00643,C28697,0.927956989,integrated technology solutions,integrated technology services
D00188,C26524,0.927905428,business technology professionals,business technology partners
D00188,C45793,0.927905428,business technology professionals,business technology partners
C24315,D01080,0.927272727,systemhouse,systems
C38566,D00998,0.927272727,prodigyteks,prodigy
C23363,D00026,0.926984127,accelerated solutions,accelerated cloud solutions
C41410,D00453,0.92627451,enterprise bank,enterprise admins
D00386,C42955,0.926190476,digital realty,digital planet
D00482,C25712,0.925960432,expert technology solutions,expert technology associates
D00990,C27040,0.925960432,premier technology solutions,premier technology advisors
C32294,D00398,0.925517241,diversified computer solutions,diversified computer services
C41773,D00343,0.925417957,cybersmith networks,cybershield networks
D00620,C29126,0.925108225,information technology consulting,information technology associates
D00233,C45422,0.925,charles river it,charles it
C35011,D00339,0.924342105,cyberforce services,cyberforce security
C37724,D00323,0.923863636,cutting edge tek,cutting edge computers
D00039,C40708,0.923351159,advanced information technology consulting services,advanced information technologies
D00878,C49482,0.923349436,network security consultans,network security associates
D00457,C36222,0.923232323,envisitek,envisiotech
C39554,D00071,0.923102823,american business machines,american business equipment
D00620,C32900,0.922661397,information technology consulting,information technology consultants of oklahoma
D00250,C38326,0.92173913,cloud advisory services,cloud advisors
D00667,C51745,0.92173913,it specialists,it specialists of texas
C31373,D01104,0.92119883,secure intervention,secure integration
D00420,C22904,0.92010582,eastern technology solutions,eastern technology services
D00186,C36154,0.920014652,business mobility systems,business mobility partners
C34979,D00736,0.92,launch pad,launch msp
D00406,C38102,0.92,donnellon mccarthy enterprises,donnellon mccarthy
D00189,C37572,0.919456469,business telecommunication system,business telecom consultants
C26266,D00040,0.919116632,advanced network design,advanced network consulting
D00333,C48301,0.918233083,cyber soft technology,cyber shift technologies
D00996,C40126,0.918181818,pro computers,pro computer solutions
C33684,D00328,0.917934783,cyber consulting,cyber consultancy group
D00268,C23516,0.917902813,cmit solutions of portland central,cmit solutions of plano
D01307,C45676,0.91765873,trustnet solutions,trustmarque solutions
D00636,C28337,0.917647059,insights infinity,insightifi
D00972,C30184,0.917647059,phoenix secure it,phoenix it
C22049,D00643,0.917625385,integrated technology systems nyc,integrated technology solutions
C23975,D01236,0.916666667,tech on call,tech on
C28106,D00988,0.916666667,precision technology,precision tech pro
C49731,D00988,0.916666667,precision technology,precision tech pro
D01416,C43266,0.916666667,your it cure,your it
D00447,C50655,0.915897436,encompass msp,encompass group
C26199,D00801,0.915789474,meridian it,meridian it systems
C49312,D00801,0.915789474,meridian it,meridian it systems
D00067,C39072,0.915789474,alpha omega systems,alpha omega
D00666,C49006,0.915789474,it services,it services express
D00801,C40006,0.915789474,meridian it systems,meridian it
D00801,C45594,0.915789474,meridian it systems,meridian it
D01261,C34621,0.915441176,telefonica miami,telefonica mexico
C22930,D00615,0.91518797,infinit technology solutions,infinit technologies
D01103,C22438,0.915,secure cyber usa,secure cyber defense
D00037,C35331,0.914916667,advanced cybersecurity solutions,advanced cybersecurity experts
D00306,C26752,0.914285714,core support partners,core support
D00878,C25395,0.91416122,network security consultans,network securitas
D00878,C40061,0.91416122,network security consultans,network securitas
D00878,C49481,0.91416122,network security consultans,network securitas
D00293,C29149,0.91412037,computer professionals unlimited,computer professionals cb20
C26525,D00188,0.91408658,business technology services,business technology professionals
C29548,D00035,0.914011914,advanced business software,advanced business resources
D00039,C26447,0.913983488,advanced information technology consulting services,advanced information technologies /ait
C34917,D00733,0.913675214,lanconnect systems,lanco systems
D00109,C25033,0.913636364,atomic zero,atomic group
D00109,C47859,0.913636364,atomic zero,atomic group
D01167,C37230,0.913333333,spartanit group,spartan it
D01167,C42226,0.913333333,spartanit group,spartan it
D01167,C50092,0.913333333,spartanit group,spartan it
D00583,C48800,0.912777778,hexaroot solutions,hexagon it solutions
D00291,C41490,0.912745098,computer dude pro,computer doc
D00929,C22296,0.912745098,on demand service,on demand it
C50671,D01045,0.912605042,red thread spaces,red team sauce
C41577,D00096,0.9125,architech,architech global
C41905,D01240,0.9125,tech team nation,tech team
D00410,C42687,0.912,dss management of florida,dss management
D00410,C48448,0.912,dss management of florida,dss management
C41092,D01172,0.911111111,splicenet,splice it
C47970,D00166,0.911111111,boulderit,boulder tech
D00075,C45254,0.911111111,amplifire,amplified it
D01240,C47595,0.911111111,tech team,tech systems
D01348,C47521,0.911111111,vectro it,vectra ai
C51674,D00881,0.910732323,networking systems,networking specialists
C25340,D00845,0.910530303,mvp technology systems,mvp technologies
C36785,D01022,0.910344828,quantum services group jw tek,quantum services
D00343,C26058,0.91,cybershield networks,cybershield
D00343,C48309,0.91,cybershield networks,cybershield
C25419,D00332,0.909730849,cyber security services,cyber security pro it
D01306,C40930,0.909649123,technologies,technologic systems
C26298,D00828,0.90952381,mobile doctors,mobile depot
D00873,C27350,0.90952381,netspi,netspec
D00256,C35008,0.909090909,cloudi,cloudhesive
D01158,C43951,0.908571429,solutionsinfra,solutions3
D01228,C26910,0.908545727,teamlogic it of orange county,teamlogic it of oklahoma city
D00332,C42505,0.908407225,cyber security pro it,cyber security consulting ops
D00298,C22832,0.908333333,connectivity wireless,connectivity two
D00877,C24627,0.908333333,network controls,network consulting group
D00877,C49471,0.908333333,network controls,network consulting group
C31431,D00512,0.907893414,focus technology solutions,focus technologies
D00193,C45989,0.90685112,caddo technology group,caddis technology group
D01277,C22407,0.906818182,reynolds company,reynolds av
D01266,C44006,0.906666667,testing ctap login,testing consulting
D00818,C51596,0.906,millennium computers,millennium communications
